"ランキングから来ました。
まだ、読んでる途中ですが楽しく読んでいます。",4話と5話でVITが下がっているんですけど、何か読み落としたでしょうか？,,"ありがとうございます！
確認いたしました、完全にこちらのミスですね……初期のVITは鳥面と素の数値込みで「2」です、ご指摘感謝です",2017年 06月04日 13:07,2017年 06月04日 20:20
"オルケストラ編真理の書
書いてくださり
ありがとうございます！","他の方も言っているのですが
どうしてオルケストラはエリーゼの姿で現れるの
ですか？

音楽プレイヤーの最後の持ち主のアンドリューはエリーゼの歌には特に興味がなかったようですし、
アンドリューの「文化や音楽を伝えたい」という思いならシュテンブルームの誰かが出てくると思います！

何故持ち主でもなかったエリーゼが歌姫として選ばれたのかが謎のままですごく気になります。


",オルケストラはエリーゼの姿に拘るのは何故？,激推しだから,2020年 05月26日 18:50,2020年 05月27日 14:06
,,"ヒロインちゃんって何で「楽郎くんに頼られたい」って、男側の思考なんですかね？

そういえば秋にリリース予定だったバベルってどうなったんですかね？ 作中ではシルヴィアがリリース前からなぜか使ってたくらいしか情報がありませんが","バベルはちょっとだけ延期した後無事リリースされた（シルヴィアが使ったデータを反映させてた）
ただ意図的に海外からのアクセスを重くした奴がいるので依然としておま国な日本コンテンツ

でも自宅の庭にどでかいアンテナブッ建てられるような者達は海外からストロングスタイルでシャンフロにアクセスしてるとか",2020年 05月27日 21:32,2020年 05月27日 21:36
相変わらずの展開の広がり方と速度が自分好み,エムルがお留守番な件,グラ〇ルの現在の人権キャラ又は人権召喚を1つ挙げるとしたら作者は何を選択するのでしょうか？,"火：アニラ&シヴァ
水：リリィorウーノ&カツウォヌス
風：ユリウス、アンチラ&ラファエル
土：水着ブローディア&ウリエル
光：リミジャンヌ&特になし
闇：シャレム&特になし

こういう印象",2020年 06月03日 16:09,2020年 06月03日 16:53
,"霊角の残影装備してないのですか？
というか効果既出でしたっけ？
",,"あれ、強いんだけどすごい目立つという世知辛いデメリットがありまして
戦闘が終わっても光っぱなしなんですよ",2020年 06月05日 21:24,2020年 06月05日 21:33
,"樹海は相変わらず三つ首ティラノの話ばっかですね…

よくよく考えたら、樹海はプレイヤーがモンスターに苦戦してる、開拓が進んでないって描写ばかりで、プレイヤーのやりがいとか面白みがほとんど無さそうな場所ですね。

読んでてワクワクしない程の魔境エリアとはたまげたなぁ…
",,"三つ首ティラノ、通常個体ならまだいいんですけど野良パで例の特殊個体どもに遭遇すると面倒くさすぎるんですよね
タフ過ぎて",2020年 06月07日 12:01,2020年 06月07日 12:02
,"流石に何を言ってるのか分からない事が多すぎてチョットだけイライラする事があるかな。
「んー？分かる人は分かるんだろなー。」とか「たぶんだけどゲーム用語なんだろな。」と、流していましたが。
まったく前提を知らない人にも「たぶんだけど、こういう事なんだろう。」と想像できる書き方をしなくなりましたね。
なろうは好きな事を好きな様に描く場所なので、それでも良いのですが更新を楽しみにしている好きな作品なので意味不明が続くとちょっとツラいです。",,視点の持ち主がゲーマーなのでそこらへんの妥協はできないですね……申し訳ないです,2020年 06月07日 11:31,2020年 06月07日 12:03
,ん？どっちかのリーダーが全滅した瞬間勝利じゃないなら、仮に期間中に新王も前王も王女も死亡したらどうなるの？,,王国滅亡エンド、新大陸に関する全事業が一年くらい完全停止,2020年 06月16日 9:15,2020年 06月16日 19:08
,"条件として、期間中新王と前王が死んで、王女が生き残った場合は、前王側の勝利ってあるけど、新王と王女が死んで、前王だけが生き残った場合はどうなるのでしょうか？
期間中両陣営のトップが死んだら即勝利ではないんですよね？",,前王人類は残機が二つあるとお考えください、片方が死んで向こうが健在でもどっちかが生き残ってれば判定勝負です,2020年 06月19日 18:52,2020年 06月20日 19:51
,,"今更ながらスキルの補助無しで過剰伝達を制御してんのか
制御の試行錯誤の結果でなんちゃって武道の極致みたいなのやってるとか

まさか今回の章でのクソゲーパートは逆位置でスキルが使いづらいシャンフロじゃないですよね",あのカービィのエアライドに直線でしか動かない奴あったじゃないですか、あれみたいな動きしてます,2020年 06月23日 5:09,2020年 06月23日 14:15
,,"唐突ですが、ヴァイスアッシュの考察してみました。

ヴァイスアッシュは愛玩娯楽用クローン体の一つの型であり品種名『ヴァイスアッシュ(白灰色)』だったが。マナ粒子により一つの『ヴァイスアッシュ(白灰色)』という概念集合体となりサンラクなどが見ているのはその概念集合体から切り出された一つの側面。だから『ヴァイスアッシュ(白灰色)』という概念がある限り不滅。

自分なりに考察したんですが。どうでしょうか？差し支え無ければ採点よろしくお願いします！",少し視点が限定的ですね、もう少し視点をでかくすれば正解に近いかも,2020年 06月24日 10:03,2020年 06月24日 22:12
"先生！
いつも楽しくヘビロテさせていただいております(ノ≧▽≦)ノ
素敵な作品をありがとうございます！
","既出だったら申し訳ないのですが……
煌蠍の籠手、儀霊剣、致命秘奥【ウツロウミカガミ】等々を見るにもしかして先生R○BYお好きですか？",,好きか嫌いかで言ったら好きですね、心をくすぐるデザインばかりで凄く好き,2020年 06月26日 23:38,2020年 06月28日 15:04
,,なんか今回の話ヒロインちゃんアゲする為の無理矢理感がある,上がってたか……？,2020年 07月02日 16:30,2020年 07月02日 17:13
,,まぁ、ほぼ身内PTの中でほぼ他人の人間が率先して置いてこうとしたら、まぁ、こうなるよね？,ヒーラーという立ち位置上、俯瞰視点というリーダーになりやすいポジションだから本人が意識してないだけでリーダー体質なんですよね火酒夏,2020年 07月02日 18:36,2020年 07月02日 19:20
三回連続更新、最高です,ミダスから許可出ますかね？赤竜討伐貢献を鑑みてもリスペクトが足りないような……,,"敬意払ってるけど依然としてNPCの目に映るサンラクは人間の形したワーウルフみあいなやべーやつですからね
ニコニコしてても、本人にそんなつもりはなくても全方位威嚇してるようにしか見えない

刻傷はファーストインプレッションが「威圧」で固定されるのです",2020年 07月02日 19:43,2020年 07月02日 19:46
,,"更新お疲れ様です。
ジョブのライダーとどう違うのか、気になりますね。乗れるモンスターの種類とかが違うのですかね？","あれ乗るだけなんですよ、ライダーはライドしてるモンスター込みで色々補正が入るけどこっちはマジでただ乗騎が必要なだけ
まぁ強壮なモンスターを相手に渡り合い、野生値を高めるという前提がありますが",2020年 07月03日 11:36,2020年 07月03日 11:59
